"DTXSID70786581;N-(2,2,3,3,4-Pentafluorocyclobutylidene)hydroxylamine;45846-68-2;LCBLRNMLIOBHOV-UHFFFAOYSA-N;C4H2F5NO;ON=C1C(F)C(F)(F)C1(F)F;[M-H]-",173.9983795
"DTXSID70384344;2,3,3,3-tetrafluoro-2-methoxypropanamide;10186-65-9;DMDUFSAURLOQDT-UHFFFAOYSA-N;C4H5F4NO2;COC(F)(C(N)=O)C(F)(F)F;[M-H]-",174.0183661
"DTXSID90608332;2,2,3,3-Tetrafluoro-3-methoxypropanamide;77946-87-3;DQEPJUNNAWCWBZ-UHFFFAOYSA-N;C4H5F4NO2;COC(F)(F)C(F)(F)C(N)=O;[M-H]-",174.0183661
"DTXSID80846721;1,2,2,3,3-Pentafluorocyclopropane-1-carboxylic acid;917951-65-6;HXUVAKMCUAKGOU-UHFFFAOYSA-N;C4HF5O2;OC(=O)C1(F)C(F)(F)C1(F)F;[M-H]-",174.9823951
"DTXSID20726058;[(1E)-1,2,3,3,3-Pentafluoroprop-1-en-1-yl]boronic acid;1233224-66-2;HNTRIXRMQXLFIB-OWOJBTEDSA-N;C3H2BF5O2;OB(O)C(\F)=C(/F)C(F)(F)F;[M-H]-",174.999525
"DTXSID80455357;Propanoic acid, 2,3,3,3-tetrafluoro-2-methoxy-;10186-64-8;FVFNJRUHXHUZRC-UHFFFAOYSA-N;C4H4F4O3;COC(F)(C(O)=O)C(F)(F)F;[M-H]-",175.0023816
"DTXSID00600246;2-(2,2,3,3-Tetrafluoropropoxy)ethan-1-ol;50997-68-7;PBDNKYROBKLKSZ-UHFFFAOYSA-N;C5H8F4O2;OCCOCC(F)(F)C(F)F;[M-H]-",175.0387672
"DTXSID60843778;2,3,3,3-Tetrafluoroprop-1-ene-1,1-dithiol;919515-71-2;NQBLGQQFKGPOQD-UHFFFAOYSA-N;C3H2F4S2;FC(=C(S)S)C(F)(F)F;[M-H]-",176.9461301
"DTXSID20570654;2,2,3,3,4-Pentafluorocyclobutane-1,1-diol;64100-30-7;PRODQSSOOYKMQF-UHFFFAOYSA-N;C4H3F5O2;OC1(O)C(F)C(F)(F)C1(F)F;[M-H]-",176.9980452
"DTXSID60846724;2-(Difluoromethyl)-2,3,3-trifluoropropanoic acid;917951-60-1;PBPPVCSRXYDNTQ-UHFFFAOYSA-N;C4H3F5O2;OC(=O)C(F)(C(F)F)C(F)F;[M-H]-",176.9980452
"DTXSID70289320;2,2,3,3,3-pentafluoropropanehydrazide;680-14-8;ZJTZZFRCOPTVDW-UHFFFAOYSA-N;C3H3F5N2O;NNC(=O)C(F)(F)C(F)(F)F;[M-H]-",177.0092785
"DTXSID90962921;2,2,3,3,3-Pentafluoro-N-hydroxypropanimidamide;4314-36-7;OJQKYDNPHRKYAY-UHFFFAOYSA-N;C3H3F5N2O;ONC(=N)C(F)(F)C(F)(F)F;[M-H]-",177.0092785
"DTXSID70597472;3,3,4,4,4-Pentafluoro-2-methylbutan-2-ol;374-46-9;VZNSVWKHKHDGCM-UHFFFAOYSA-N;C5H7F5O;CC(C)(O)C(F)(F)C(F)(F)F;[M-H]-",177.0344307
DTXSID70869964;3-(Perfluoroethyl)propanol;148043-73-6;QROUUECTKRZFHF-UHFFFAOYSA-N;C5H7F5O;OCCCC(F)(F)C(F)(F)F;[M-H]-,177.0344307
DTXSID60382112;2-Chlorotetrafluoropropanamide;6066-47-3;UMFJSFJYSGJYFW-UHFFFAOYSA-N;C3H2ClF4NO;NC(=O)C(F)(Cl)C(F)(F)F;[M-H]-,177.968829
"DTXSID00382111;3-Chloro-2,2,3,3-tetrafluoropropanoic acid;661-82-5;XJRMCFMZGRJXEZ-UHFFFAOYSA-N;C3HClF4O2;OC(=O)C(F)(F)C(F)(F)Cl;[M-H]-",178.9528446
"DTXSID30476698;2-Chloro-2,3,3,3-tetrafluoropropanoic acid;1566560;HHPGRVJNNAIZAR-UHFFFAOYSA-N;C3HClF4O2;OC(=O)C(F)(Cl)C(F)(F)F;[M-H]-",178.9528446
DTXSID00408562;Difluoro(perfluoromethoxy)acetic acid;674-13-5;IHYMJUVQLSNPPP-UHFFFAOYSA-N;C3HF5O3;OC(=O)C(F)(F)OC(F)(F)F;[M-H]-,178.9773097
DTXSID00709107;Pentafluoropropaneperoxoic acid;159219-31-5;NHVUMFDCNNRJQT-UHFFFAOYSA-N;C3HF5O3;OOC(=O)C(F)(F)C(F)(F)F;[M-H]-,178.9773097
"DTXSID30764224;Tetrafluoropropane-1,1,1,2-tetrol;112385-13-4;LFFPCNDWCSGUAK-UHFFFAOYSA-N;C3H4F4O4;OC(O)(O)C(O)(F)C(F)(F)F;[M-H]-",178.9972963
DTXSID20757140;2-(Pentafluoroethoxy)ethan-1-ol;91324-95-7;NHIZSPXZHPQSTR-UHFFFAOYSA-N;C4H5F5O2;OCCOC(F)(F)C(F)(F)F;[M-H]-,179.0136952
DTXSID70886373;Pentafluoropropionaldehyde methyl hemiacetal;59872-84-3;FHGKXFQZUUSHPB-UHFFFAOYSA-N;C4H5F5O2;COC(O)C(F)(F)C(F)(F)F;[M-H]-,179.0136952
"DTXSID80338631;1,1,1,3,3,3-Hexafluoropropan-2-one, oxime;1645-76-7;YVQTYCGUGOVSCD-UHFFFAOYSA-N;C3HF6NO;ON=C(C(F)(F)F)C(F)(F)F;[M-H]-",179.9889576
"DTXSID90436415;1,1,2,2-Tetrafluoroethanesulfonic acid;464-14-2;KZWJWYFPLXRYIL-UHFFFAOYSA-N;C2H2F4O3S;OS(=O)(=O)C(F)(F)C(F)F;[M-H]-",180.9588028
"DTXSID00870523;1H,1H,3H-Perfluorobutanol;382-31-0;LVFXLZRISXUAIL-UHFFFAOYSA-N;C4H4F6O;OCC(F)(F)C(F)C(F)(F)F;[M-H]-",181.0093587
"DTXSID10405744;3,3,3-Trifluoro-2-(trifluoromethyl)-1-propanol;81503-71-1;DTLHERTUHUWHJW-UHFFFAOYSA-N;C4H4F6O;OCC(C(F)(F)F)C(F)(F)F;[M-H]-",181.0093587
