CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
FragScreen229.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen231.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen238.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen250.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen1172.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen1175.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen1390.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen1610.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen2980.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen3216.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen3850.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen3851.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen4259.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen4490.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen4692.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen4700.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen4703.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen5538.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen5541.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen5947.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
FragScreen6352.csv,3,,FALSE,FALSE,TRUE,Neg,[M-H]-,Fragment Screening
