Feature,RT,Intensity,mz,File,Zoom
103,8.39,17711,498.92959,AFFF3_Target_Neg.mzXML,1
103,8.41,18256,498.92994,AFFF3_Target_Neg.mzXML,1
103,8.42,15956,498.93025,AFFF3_Target_Neg.mzXML,1
103,8.44,12512,498.93077,AFFF3_Target_Neg.mzXML,1
103,8.45,13730,498.9299,AFFF3_Target_Neg.mzXML,1
103,8.47,12442,498.93016,AFFF3_Target_Neg.mzXML,1
103,8.48,10741,498.9308,AFFF3_Target_Neg.mzXML,1
104,8.71,6588,498.93035,AFFF3_Target_Neg.mzXML,1
104,8.72,4527,498.92949,AFFF3_Target_Neg.mzXML,1
104,8.74,4684,498.93044,AFFF3_Target_Neg.mzXML,1
104,8.75,5042,498.93009,AFFF3_Target_Neg.mzXML,1
104,8.76,4282,498.93023,AFFF3_Target_Neg.mzXML,1
104,8.78,5221,498.93,AFFF3_Target_Neg.mzXML,1
104,8.79,4612,498.93083,AFFF3_Target_Neg.mzXML,1
104,8.8,3779,498.92986,AFFF3_Target_Neg.mzXML,1
104,8.81,4713,498.93087,AFFF3_Target_Neg.mzXML,1
104,8.83,5182,498.93004,AFFF3_Target_Neg.mzXML,1
104,8.84,4940,498.93038,AFFF3_Target_Neg.mzXML,1
104,8.85,5301,498.93026,AFFF3_Target_Neg.mzXML,1
104,8.86,4749,498.93024,AFFF3_Target_Neg.mzXML,1
104,8.87,4590,498.93017,AFFF3_Target_Neg.mzXML,1
104,8.88,4496,498.93109,AFFF3_Target_Neg.mzXML,1
104,8.91,4483,498.93003,AFFF3_Target_Neg.mzXML,1
104,8.92,4244,498.92956,AFFF3_Target_Neg.mzXML,1
104,8.93,4361,498.93052,AFFF3_Target_Neg.mzXML,1
104,8.94,4937,498.93017,AFFF3_Target_Neg.mzXML,1
104,8.95,4142,498.92984,AFFF3_Target_Neg.mzXML,1
104,8.96,5256,498.93071,AFFF3_Target_Neg.mzXML,1
104,8.97,4311,498.9297,AFFF3_Target_Neg.mzXML,1
104,8.98,4874,498.93087,AFFF3_Target_Neg.mzXML,1
104,9,5037,498.93104,AFFF3_Target_Neg.mzXML,1
104,9.01,3962,498.92998,AFFF3_Target_Neg.mzXML,1
104,9.02,4212,498.93093,AFFF3_Target_Neg.mzXML,1
104,9.03,3772,498.93074,AFFF3_Target_Neg.mzXML,1
104,9.04,5427,498.93093,AFFF3_Target_Neg.mzXML,1
104,9.05,3831,498.93098,AFFF3_Target_Neg.mzXML,1
104,9.07,3905,498.93047,AFFF3_Target_Neg.mzXML,1
104,9.08,3265,498.93084,AFFF3_Target_Neg.mzXML,1
104,9.09,4209,498.93052,AFFF3_Target_Neg.mzXML,1
104,9.1,4085,498.93013,AFFF3_Target_Neg.mzXML,1
104,9.12,3389,498.9307,AFFF3_Target_Neg.mzXML,1
104,9.13,4464,498.92969,AFFF3_Target_Neg.mzXML,1
104,9.14,3969,498.93008,AFFF3_Target_Neg.mzXML,1
104,9.16,4209,498.93083,AFFF3_Target_Neg.mzXML,1
104,9.17,3681,498.93073,AFFF3_Target_Neg.mzXML,1
104,9.18,4059,498.92991,AFFF3_Target_Neg.mzXML,1
104,9.19,3612,498.93019,AFFF3_Target_Neg.mzXML,1
104,9.2,3789,498.93053,AFFF3_Target_Neg.mzXML,1
104,9.22,2137,498.93082,AFFF3_Target_Neg.mzXML,1
104,9.24,3934,498.93045,AFFF3_Target_Neg.mzXML,1
104,9.26,3362,498.93139,AFFF3_Target_Neg.mzXML,1
