Feature,m/z,Intensity,Isotope,Formula,PredAbundance,File,Zoom
101,397.212021418254,560.047424316406,,,,AFFF3_Target_Neg.mzXML,1
101,397.310845778851,382.408782958984,,,,AFFF3_Target_Neg.mzXML,1
101,397.834657212455,528.112426757812,,,,AFFF3_Target_Neg.mzXML,1
101,398.794772058789,461.471405029297,,,,AFFF3_Target_Neg.mzXML,1
101,398.938831659564,3706852.5,M,C6HF13O3S,,AFFF3_Target_Neg.mzXML,1
101,399.752897418233,777.07568359375,,,,AFFF3_Target_Neg.mzXML,1
101,399.788138035883,1209.74658203125,,,,AFFF3_Target_Neg.mzXML,1
101,399.831074359447,712.992309570312,,,,AFFF3_Target_Neg.mzXML,1
101,399.940054798586,351729.84375,33S1(0.79%;0.00184Da)_13C1(1.08%;0.00213Da)_15N1(0.37%;0.00419Da),,,AFFF3_Target_Neg.mzXML,1
101,400.544187525321,369.959777832031,,,,AFFF3_Target_Neg.mzXML,1
101,400.619369519709,472.474914550781,,,,AFFF3_Target_Neg.mzXML,1
101,400.703569199211,450.790008544922,,,,AFFF3_Target_Neg.mzXML,1
101,400.757128814055,401.275115966797,,,,AFFF3_Target_Neg.mzXML,1
101,400.867685300954,419.328460693359,,,,AFFF3_Target_Neg.mzXML,1
101,400.934380992158,223811.171875,34S1(4.47%;0.00025Da)_37Cl1(32.00%;0.00150Da)_81Br1(97.28%;0.00240Da),,,AFFF3_Target_Neg.mzXML,1
101,401.562671522035,452.527587890625,,,,AFFF3_Target_Neg.mzXML,1
101,401.937992830184,14857.1748046875,,,,AFFF3_Target_Neg.mzXML,1
101,401.991845776312,796.151000976562,,,,AFFF3_Target_Neg.mzXML,1
101,402.046480077302,2486.173828125,,,,AFFF3_Target_Neg.mzXML,1
101,402.389706861468,410.463134765625,,,,AFFF3_Target_Neg.mzXML,1
101,402.937344836916,2795.8525390625,81Br2(94.63%;0.00261Da)_36S1(0.01%;0.00350Da)_37Cl2(10.24%;0.00441Da),,,AFFF3_Target_Neg.mzXML,1
