Feature,m/z,Intensity,Isotope,Formula,PredAbundance,File,Zoom
100,402.043334409491,4174.61669921875,,,,AFFF3_Target_Neg.mzXML,1
100,402.094859159028,353.6337890625,,,,AFFF3_Target_Neg.mzXML,1
100,402.317647034837,106.148811340332,,,,AFFF3_Target_Neg.mzXML,1
100,402.368274745661,119.260414123535,,,,AFFF3_Target_Neg.mzXML,1
100,402.440075601239,162.006256103516,,,,AFFF3_Target_Neg.mzXML,1
100,402.487869188727,152.023803710938,,,,AFFF3_Target_Neg.mzXML,1
100,402.533702471081,178.006942749023,,,,AFFF3_Target_Neg.mzXML,1
100,402.656442355982,133.02082824707,,,,AFFF3_Target_Neg.mzXML,1
100,402.935660021535,285.660003662109,,,,AFFF3_Target_Neg.mzXML,1
100,402.987384993915,240.593139648438,,,,AFFF3_Target_Neg.mzXML,1
100,403.043630957411,1885.0244140625,,,,AFFF3_Target_Neg.mzXML,1
100,403.259046593972,176.285446166992,,,,AFFF3_Target_Neg.mzXML,1
100,403.447745503809,144.078491210938,,,,AFFF3_Target_Neg.mzXML,1
100,403.596620309572,121.00114440918,,,,AFFF3_Target_Neg.mzXML,1
100,403.633554532048,210.621551513672,,,,AFFF3_Target_Neg.mzXML,1
100,403.868352217935,265.509063720703,,,,AFFF3_Target_Neg.mzXML,1
100,404.045200327087,629.142883300781,,,,AFFF3_Target_Neg.mzXML,1
100,404.101900251325,220.346206665039,,,,AFFF3_Target_Neg.mzXML,1
100,404.139763824714,115.440071105957,,,,AFFF3_Target_Neg.mzXML,1
100,404.179656869157,181.438018798828,,,,AFFF3_Target_Neg.mzXML,1
100,404.279361778814,290.910705566406,,,,AFFF3_Target_Neg.mzXML,1
100,404.323233331926,121.611640930176,,,,AFFF3_Target_Neg.mzXML,1
100,404.518379098566,182.637115478516,,,,AFFF3_Target_Neg.mzXML,1
100,404.599888079717,172.902496337891,,,,AFFF3_Target_Neg.mzXML,1
100,404.863803864318,158.579223632812,,,,AFFF3_Target_Neg.mzXML,1
100,404.944921213978,756.674987792969,,,,AFFF3_Target_Neg.mzXML,1
100,405.029403512355,576.080627441406,,,,AFFF3_Target_Neg.mzXML,1
100,405.112225137759,144.112503051758,,,,AFFF3_Target_Neg.mzXML,1
100,405.139600616446,177.765869140625,,,,AFFF3_Target_Neg.mzXML,1
100,405.174140679471,112.1328125,,,,AFFF3_Target_Neg.mzXML,1
100,405.225428434102,130.673614501953,,,,AFFF3_Target_Neg.mzXML,1
100,405.501628817709,111.00080871582,,,,AFFF3_Target_Neg.mzXML,1
100,405.6053600458,241.308792114258,,,,AFFF3_Target_Neg.mzXML,1
100,405.681448379609,114.448272705078,,,,AFFF3_Target_Neg.mzXML,1
101,395.800420960074,497.009887695312,,,,AFFF3_Target_Neg.mzXML,1
101,395.917671160385,735.461730957031,,,,AFFF3_Target_Neg.mzXML,1
101,396.040188132295,706.356079101562,,,,AFFF3_Target_Neg.mzXML,1
101,396.165578000185,1027.68237304688,,,,AFFF3_Target_Neg.mzXML,1
101,396.448805550141,935.044982910156,,,,AFFF3_Target_Neg.mzXML,1
101,396.483702717853,879.758728027344,,,,AFFF3_Target_Neg.mzXML,1
101,396.562721446797,841.5,,,,AFFF3_Target_Neg.mzXML,1
101,396.589971748578,775.716369628906,,,,AFFF3_Target_Neg.mzXML,1
101,396.909453956366,423.011901855469,,,,AFFF3_Target_Neg.mzXML,1
101,396.970279318652,520.209899902344,,,,AFFF3_Target_Neg.mzXML,1
101,398.73686952138,398.594146728516,,,,AFFF3_Target_Neg.mzXML,1
101,398.938513891433,3692283.75,M,C6HF13O3S,,AFFF3_Target_Neg.mzXML,1
101,399.575731328818,814.587341308594,,,,AFFF3_Target_Neg.mzXML,1
101,399.691530132506,670.637878417969,,,,AFFF3_Target_Neg.mzXML,1
101,399.788420861866,547.182006835938,,,,AFFF3_Target_Neg.mzXML,1
101,399.840767340077,661.600036621094,,,,AFFF3_Target_Neg.mzXML,1
101,399.939732017969,340189.90625,29Si1(5.08%;0.00165Da),,,AFFF3_Target_Neg.mzXML,1
101,400.522718642245,555.536682128906,,,,AFFF3_Target_Neg.mzXML,1
101,400.57721202472,596.046936035156,,,,AFFF3_Target_Neg.mzXML,1
101,400.784458507557,399.569213867188,,,,AFFF3_Target_Neg.mzXML,1
101,400.843413578293,432.224822998047,,,,AFFF3_Target_Neg.mzXML,1
101,400.93396520968,223518.171875,34S1(4.47%;0.00034Da)_30Si1(3.35%;0.00139Da)_37Cl1(32.00%;0.00160Da),,,AFFF3_Target_Neg.mzXML,1
101,401.544949176291,438.916168212891,,,,AFFF3_Target_Neg.mzXML,1
101,401.657991563107,401.342224121094,,,,AFFF3_Target_Neg.mzXML,1
101,401.855669638654,451.628265380859,,,,AFFF3_Target_Neg.mzXML,1
101,401.937613825334,16512.494140625,,,,AFFF3_Target_Neg.mzXML,1
101,402.045238803572,2039.12255859375,,,,AFFF3_Target_Neg.mzXML,1
101,402.339770109008,359.457641601562,,,,AFFF3_Target_Neg.mzXML,1
101,402.938244967705,2016.603515625,,,,AFFF3_Target_Neg.mzXML,1
101,403.04069813401,1017.60418701172,,,,AFFF3_Target_Neg.mzXML,1
101,404.051758686178,397.886413574219,,,,AFFF3_Target_Neg.mzXML,1
